state,year,category,cost
Arizona,2009,alcohol,402.1136325703548
Arizona,2009,apparel,1711.7018999563538
Arizona,2009,cash_contributions,2030.0
Arizona,2009,education,985.039036011776
Arizona,2009,entertainment,2371.712720071107
Arizona,2009,food,6534.346529268266
Arizona,2009,healthcare,3909.802044072712
Arizona,2009,housing,15775.79
Arizona,2009,miscellaneous,754.6358654771705
Arizona,2009,personal_care,603.7086923817362
Arizona,2009,personal_insurance,6037.086923817364
Arizona,2009,reading,104.89174570613572
Arizona,2009,tobacco,262.2293642653393
Arizona,2009,transportation,8757.662313313998
Arizona,2010,alcohol,381.1994104608886
Arizona,2010,apparel,1602.7807286189586
Arizona,2010,cash_contributions,2030.0
Arizona,2010,education,1029.0379957592834
Arizona,2010,entertainment,2410.976190918514
Arizona,2010,food,6194.49041998944
Arizona,2010,healthcare,4043.9493557307474
Arizona,2010,housing,15111.84
Arizona,2010,miscellaneous,767.1287880195272
Arizona,2010,personal_care,613.7030304156217
Arizona,2010,personal_insurance,6137.030304156217
Arizona,2010,reading,100.2959156014167
Arizona,2010,tobacco,250.7397890035417
Arizona,2010,transportation,8887.230211436809
Arizona,2011,alcohol,390.94740412537874
Arizona,2011,apparel,1618.9609477097074
Arizona,2011,cash_contributions,2030.0
Arizona,2011,education,1056.2696768697576
Arizona,2011,entertainment,2448.988222669529
Arizona,2011,food,6352.895317037403
Arizona,2011,healthcare,4103.841148919217
Arizona,2011,housing,14875.89
Arizona,2011,miscellaneous,779.2235253948502
Arizona,2011,personal_care,623.3788203158801
Arizona,2011,personal_insurance,6233.7882031588015
Arizona,2011,reading,102.263641458792
Arizona,2011,tobacco,255.65910364698
Arizona,2011,transportation,9637.993577754827
Arizona,2012,alcohol,398.2521743932152
Arizona,2012,apparel,1662.275199791212
Arizona,2012,cash_contributions,2030.0
Arizona,2012,education,1081.045162723984
Arizona,2012,entertainment,2457.1425374527203
Arizona,2012,food,6471.597833889746
Arizona,2012,healthcare,4181.851464917686
Arizona,2012,housing,15129.32
Arizona,2012,miscellaneous,781.818080098593
Arizona,2012,personal_care,625.4544640788744
Arizona,2012,personal_insurance,6254.544640788744
Arizona,2012,reading,103.64008509619988
Arizona,2012,tobacco,259.10021274049967
Arizona,2012,transportation,9795.500262216538
Arizona,2013,alcohol,401.1680127647386
Arizona,2013,apparel,1666.791411440999
Arizona,2013,cash_contributions,2030.0
Arizona,2013,education,1145.2051698419914
Arizona,2013,entertainment,2544.782258811416
Arizona,2013,food,6518.980207427002
Arizona,2013,healthcare,4373.456629852139
Arizona,2013,housing,15153.03
Arizona,2013,miscellaneous,809.7034459854505
Arizona,2013,personal_care,647.7627567883603
Arizona,2013,personal_insurance,6477.627567883604
Arizona,2013,reading,104.47013003771416
Arizona,2013,tobacco,261.1753250942854
Arizona,2013,transportation,9734.90982525556
Arizona,2014,alcohol,411.4293433774764
Arizona,2014,apparel,1670.8226268970916
Arizona,2014,cash_contributions,2030.0
Arizona,2014,education,1170.853192218827
Arizona,2014,entertainment,2559.5634392922098
Arizona,2014,food,6685.726829883992
Arizona,2014,healthcare,4432.519337056219
Arizona,2014,housing,15342.31
Arizona,2014,miscellaneous,814.4065488657031
Arizona,2014,personal_care,651.5252390925626
Arizona,2014,personal_insurance,6515.252390925625
Arizona,2014,reading,106.31986135732748
Arizona,2014,tobacco,265.79965339331864
Arizona,2014,transportation,9679.395594414962
Arizona,2015,alcohol,422.5669965250788
Arizona,2015,apparel,1663.5927200574813
Arizona,2015,cash_contributions,2030.0
Arizona,2015,education,1199.861586548294
Arizona,2015,entertainment,2532.0937827009807
Arizona,2015,food,6866.71369353253
Arizona,2015,healthcare,4494.900514344644
Arizona,2015,housing,15876.84
Arizona,2015,miscellaneous,805.6662035866756
Arizona,2015,personal_care,644.5329628693405
Arizona,2015,personal_insurance,6445.329628693405
Arizona,2015,reading,107.33395689786542
Arizona,2015,tobacco,268.33489224466354
Arizona,2015,transportation,8998.02183604791
Arizona,2016,alcohol,420.74065599601175
Arizona,2016,apparel,1653.2118411308911
Arizona,2016,cash_contributions,2030.0
Arizona,2016,education,1269.7916800147343
Arizona,2016,entertainment,2636.9129849485157
Arizona,2016,food,6837.03565993519
Arizona,2016,healthcare,4797.414777020097
Arizona,2016,housing,16179.9
Arizona,2016,miscellaneous,839.017767938164
Arizona,2016,personal_care,671.2142143505313
Arizona,2016,personal_insurance,6712.142143505312
Arizona,2016,reading,107.91904325643723
Arizona,2016,tobacco,269.79760814109306
Arizona,2016,transportation,8750.049926110414
Arizona,2017,alcohol,421.46836692616495
Arizona,2017,apparel,1636.447906036873
Arizona,2017,cash_contributions,2030.0
Arizona,2017,education,1277.9744324905832
Arizona,2017,entertainment,2649.6067388116894
Arizona,2017,food,6848.860962550181
Arizona,2017,healthcare,4838.385795306858
Arizona,2017,housing,16969.02
Arizona,2017,miscellaneous,843.0566896219011
Arizona,2017,personal_care,674.4453516975209
Arizona,2017,personal_insurance,6744.453516975209
Arizona,2017,reading,109.4680775326888
Arizona,2017,tobacco,273.67019383172203
Arizona,2017,transportation,8988.627546258727
Arizona,2018,alcohol,421.3655909070126
Arizona,2018,apparel,1613.9704379150892
Arizona,2018,cash_contributions,2030.0
Arizona,2018,education,1300.1604638520591
Arizona,2018,entertainment,2701.286042873279
Arizona,2018,food,6847.190852238955
Arizona,2018,healthcare,4910.404528141024
Arizona,2018,housing,17583.05
Arizona,2018,miscellaneous,859.5001045505887
Arizona,2018,personal_care,687.600083640471
Arizona,2018,personal_insurance,6876.00083640471
Arizona,2018,reading,110.56780831932612
Arizona,2018,tobacco,276.4195207983154
Arizona,2018,transportation,9261.418094466462
Arizona,2019,alcohol,430.0144346850127
Arizona,2019,apparel,1596.334301573061
Arizona,2019,cash_contributions,2030.0
Arizona,2019,education,1355.545515874952
Arizona,2019,entertainment,2791.881848023356
Arizona,2019,food,6987.734563631456
