GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "30000","Montana",7,SARPP,2,"..."," Real per capita personal income (constant (2017) dollars) 2/","Constant 2017 dollars",42420,41648,43077,43677,45704,45180,45334,46695,47037,48252,50184,50992,55730,59336,58869,59807
 "31000","Nebraska",4,SARPP,2,"..."," Real per capita personal income (constant (2017) dollars) 2/","Constant 2017 dollars",50465,48959,49337,53817,53217,52238,54093,56077,54633,55268,54972,55970,58594,63531,64333,65562
 "32000","Nevada",8,SARPP,2,"..."," Real per capita personal income (constant (2017) dollars) 2/","Constant 2017 dollars",42848,39476,40942,40744,41371,41191,42759,45736,46920,47183,50312,50861,53910,58599,55910,56723
 "33000","New Hampshire",1,SARPP,2,"..."," Real per capita personal income (constant (2017) dollars) 2/","Constant 2017 dollars",48279,48280,49949,51170,52187,51256,52473,53636,53993,54852,57226,59501,61479,66057,59838,62236
 "34000","New Jersey",2,SARPP,2,"..."," Real per capita personal income (constant (2017) dollars) 2/","Constant 2017 dollars",53849,50491,51788,52191,52502,52103,53239,55171,55861,56574,56752,58777,60963,64045,61622,62623
 "35000","New Mexico",6,SARPP,2,"..."," Real per capita personal income (constant (2017) dollars) 2/","Constant 2017 dollars",39593,38605,39402,38977,39187,38132,39826,40733,41534,41044,43915,44994,48522,51885,50335,50851
 "36000","New York",2,SARPP,2,"..."," Real per capita personal income (constant (2017) dollars) 2/","Constant 2017 dollars",48246,47526,48799,49366,50798,50344,51567,53140,54066,56711,57552,58790,61261,63783,62113,63524
 "37000","North Carolina",5,SARPP,2,"..."," Real per capita personal income (constant (2017) dollars) 2/","Constant 2017 dollars",45877,44344,42732,42485,44056,42485,43838,45814,46317,47630,48665,50963,54298,55908,54070,54554
 "38000","North Dakota",4,SARPP,2,"..."," Real per capita personal income (constant (2017) dollars) 2/","Constant 2017 dollars",53507,51491,54688,58830,64491,61509,63085,59811,57035,58566,59398,58838,63006,66709,69224,67549
 "39000","Ohio",3,SARPP,2,"..."," Real per capita personal income (constant (2017) dollars) 2/","Constant 2017 dollars",44451,42857,43444,45541,45858,45668,46834,48868,49184,50276,50529,51251,55081,57180,55009,55626
 "40000","Oklahoma",6,SARPP,2,"..."," Real per capita personal income (constant (2017) dollars) 2/","Constant 2017 dollars",49104,45641,45446,47136,48682,49840,51542,49913,46873,48370,50413,52201,53478,55745,56357,56954
 "41000","Oregon",8,SARPP,2,"..."," Real per capita personal income (constant (2017) dollars) 2/","Constant 2017 dollars",42239,39641,40049,40590,40990,41193,43052,44953,46549,46979,47087,48657,52512,55584,51849,53799
 "42000","Pennsylvania",2,SARPP,2,"..."," Real per capita personal income (constant (2017) dollars) 2/","Constant 2017 dollars",46902,45727,47012,48345,49314,49036,50321,51672,52718,52468,54503,55470,59101,61028,58632,58727
 "44000","Rhode Island",1,SARPP,2,"..."," Real per capita personal income (constant (2017) dollars) 2/","Constant 2017 dollars",44835,43821,46189,46969,48013,46435,47865,48412,48629,49311,50150,52100,55797,56628,53188,55329
 "45000","South Carolina",5,SARPP,2,"..."," Real per capita personal income (constant (2017) dollars) 2/","Constant 2017 dollars",40425,39578,39128,39859,40626,40268,41765,43698,44389,45747,46635,48821,51428,52266,50280,51100
 "46000","South Dakota",4,SARPP,2,"..."," Real per capita personal income (constant (2017) dollars) 2/","Constant 2017 dollars",53966,51592,51387,55030,52734,52101,53862,56585,56339,56744,55503,57345,62358,68414,68403,68315
 "47000","Tennessee",5,SARPP,2,"..."," Real per capita personal income (constant (2017) dollars) 2/","Constant 2017 dollars",42800,42858,42936,43814,44337,43976,44714,46534,46685,47823,50871,51869,55019,58368,55608,55861
 "48000","Texas",6,SARPP,2,"..."," Real per capita personal income (constant (2017) dollars) 2/","Constant 2017 dollars",46111,43378,44112,46693,47588,47342,48996,49017,47712,49950,51583,52344,53170,56263,55726,56621
 "49000","Utah",7,SARPP,2,"..."," Real per capita personal income (constant (2017) dollars) 2/","Constant 2017 dollars",39101,35790,36430,36769,37951,38286,39605,42042,43372,43696,46514,47931,52050,56578,55409,56100
 "50000","Vermont",1,SARPP,2,"..."," Real per capita personal income (constant (2017) dollars) 2/","Constant 2017 dollars",45363,44683,46082,47569,47492,47117,49294,49457,50630,49928,50637,52738,54546,56681,54314,57521
 "51000","Virginia",5,SARPP,2,"..."," Real per capita personal income (constant (2017) dollars) 2/","Constant 2017 dollars",49384,48503,48534,49646,50701,48671,49587,51296,52225,53823,54027,56458,58253,60190,58889,60869
 "53000","Washington",8,SARPP,2,"..."," Real per capita personal income (constant (2017) dollars) 2/","Constant 2017 dollars",47357,44859,45638,46296,48620,48415,49888,51706,52449,52986,54838,56858,60091,62272,59296,61911
 "54000","West Virginia",5,SARPP,2,"..."," Real per capita personal income (constant (2017) dollars) 2/","Constant 2017 dollars",40351,41150,40655,41705,41807,40671,41594,42150,42099,43732,45021,46595,49233,49311,48479,48869
 "55000","Wisconsin",3,SARPP,2,"..."," Real per capita personal income (constant (2017) dollars) 2/","Constant 2017 dollars",46757,45576,45542,47257,47867,47515,48515,50670,50958,51768,52802,53655,57326,59596,57831,57962
 "56000","Wyoming",7,SARPP,2,"..."," Real per capita personal income (constant (2017) dollars) 2/","Constant 2017 dollars",58234,51850,53752,55956,58962,56737,59526,59579,55723,58147,62947,63607,67929,71298,71818,75015
 "00000","United States", ,SARPP,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",11270735.8,11123596.9,11335603.3,11528483.8,11686117.9,11889925.2,12226445.7,12638789.0,12949012.2,13290625.5,13654925.4,13948133.0,13594721.8,14787232.3,15236191.5,15621697.3
 "01000","Alabama",5,SARPP,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",164093.5,164430.3,163000.8,163835.5,163555.0,166493.3,169501.8,175050.6,177257.9,181495.6,190026.5,193730.0,191907.5,207240.1,211069.8,209835.3
 "02000","Alaska",8,SARPP,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",28865.5,28761.4,30555.8,31230.3,32002.7,32394.9,32817.5,33095.6,33216.1,33306.8,33814.2,34572.5,33062.4,34829.2,36670.1,37640.6
 "04000","Arizona",6,SARPP,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",216145.7,208707.6,215882.4,221402.7,226505.7,230026.9,237768.6,246519.2,251483.4,264659.3,275644.2,283289.2,281220.9,318965.7,321902.1,328923.0
 "05000","Arkansas",5,SARPP,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",95712.4,97029.3,96705.8,97691.8,98540.8,99397.4,102073.7,105531.4,108118.3,110659.9,115087.9,114966.5,114466.8,123114.5,127801.5,130245.1
